55:43.63,270.31979128083736,451.6429176993216,6.396
55:43.72,296.17574125437505,406.4553679791579,4.669
55:43.82,323.50639614539205,359.273991848637,5.692
55:43.92,347.5543843048157,319.04059496320014,4.208
55:44.02,366.6310705463224,283.4916974534958,3.579
55:44.12,378.1515080035966,247.48823296550313,3.006
55:44.22,376.4657520284799,212.78255845616533,0.577
55:44.32,373.2307837271323,181.0057067406088,-3.324
55:44.42,364.31708659779986,154.47609060275363,-3.771
55:44.52,348.87837755224314,132.24958979307203,-4.326
55:44.62,328.5819665094076,116.21377462069984,-6.23
55:44.72,305.16904473449057,106.58652274450174,-5.994
55:44.82,273.710256447818,106.71180592576249,-7.042
55:44.92,249.02426063783358,115.60538008077383,-7.316
55:45.02,235.47095083424176,130.2969564993583,-6.409
55:45.12,232.64992587396236,142.099449718761,-6.673
55:45.22,240.28649460049925,153.6504586817557,-6.992
55:45.32,265.36223810898633,161.7242962374331,-4.951
55:45.42,285.4495818161149,159.1495259807353,-4.894
